tempo_ms,angulo_deg,u_pct,referencia
8146,5.49,17.96,10.00
8155,5.52,17.83,10.00
8165,5.55,17.79,10.00
8175,5.58,17.76,10.00
8185,5.61,17.93,10.00
8196,5.62,18.24,10.00
8205,5.62,18.49,10.00
8215,5.64,18.21,10.00
8225,5.66,18.14,10.00
8236,5.68,18.19,10.00
8245,5.69,18.43,10.00
8255,5.69,18.64,10.00
8265,5.70,18.44,10.00
8276,5.72,18.28,10.00
8286,5.73,18.53,10.00
8295,5.73,18.54,10.00
8305,5.75,18.39,10.00
8316,5.77,18.45,10.00
8326,5.80,18.19,10.00
8336,5.80,18.64,10.00
8345,5.80,18.80,10.00
8355,5.81,18.66,10.00
8366,5.85,18.15,10.00
8376,5.86,18.55,10.00
8385,5.89,18.31,10.00
8395,5.91,18.55,10.00
8406,5.93,18.46,10.00
8416,5.94,18.75,10.00
8426,5.94,18.89,10.00
8435,5.96,18.58,10.00
8446,5.97,18.84,10.00
8456,5.98,18.82,10.00
8466,6.00,18.69,10.00
8475,6.01,18.80,10.00
8486,6.02,18.85,10.00
8496,6.05,18.56,10.00
8506,6.06,18.71,10.00
8516,6.08,18.74,10.00
8525,6.10,18.80,10.00
8536,6.10,19.15,10.00
8546,6.10,19.26,10.00
8556,6.09,19.33,10.00
8565,6.10,19.07,10.00
8576,6.12,18.83,10.00
8586,6.13,19.04,10.00
8596,6.11,19.69,10.00
8606,6.11,19.43,10.00
8616,6.12,19.13,10.00
8626,6.12,19.24,10.00
8636,6.11,19.60,10.00
8646,6.11,19.53,10.00
8657,6.12,19.25,10.00
8666,6.13,19.32,10.00
8676,6.12,19.64,10.00
8686,6.15,18.89,10.00
8696,6.16,19.28,10.00
8706,6.18,19.17,10.00
8716,6.21,19.05,10.00
8726,6.20,19.69,10.00
8736,6.21,19.44,10.00
8747,6.21,19.52,10.00
8756,6.23,19.30,10.00
8766,6.25,19.30,10.00
8776,6.24,19.83,10.00
8787,6.27,19.12,10.00
8796,6.27,19.63,10.00
8806,6.30,19.25,10.00
8816,6.31,19.43,10.00
8827,6.34,19.26,10.00
8837,6.35,19.45,10.00
8846,6.38,19.21,10.00
8856,6.40,19.54,10.00
8866,6.42,19.28,10.00
8877,6.42,19.87,10.00
8887,6.45,19.19,10.00
8896,6.45,19.80,10.00
8906,6.48,19.36,10.00
8917,6.49,19.57,10.00
8927,6.50,19.71,10.00
8936,6.54,19.09,10.00
8946,6.57,19.46,10.00
8957,6.58,19.62,10.00
8967,6.61,19.23,10.00
8977,6.62,19.75,10.00
8986,6.63,19.82,10.00
8997,6.67,19.27,10.00
9007,6.68,19.75,10.00
9017,6.69,19.67,10.00
